ID,유형,공고명,지역,게시일,마감일,상태,조회수,URL
LH_sale_1,공공분양(신혼희망),양산사송 A-2블록 신혼희망타운(공공분양) 추가입주자 모집공고(잔금납부기간 변경),경상남도,2024.11.04,2025.03.06,접수마감,9049,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060768&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_2,분양주택,양주옥정 A-4(1)블록 공공분양주택 추가모집(5년 무이자할부 및 발코니 확장비 무상지원),경기도,2024.11.04,2024.11.08,접수마감,16968,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060771&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_3,분양주택,전주시(풍경빌) 임대주택 분양전환 후 잔여세대 일반매각 공고,전북특별자치도,2024.11.05,2024.12.10,접수마감,7603,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017125&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_4,분양주택,중동 경남아너스빌 공가세대 일반매각 공고,부산광역시,2024.11.06,2024.12.31,접수마감,16258,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017128&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_5,공공분양(신혼희망),의왕월암 A-1 및 A-3블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2024.11.08,2024.11.21,접수마감,17984,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060770&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_6,분양주택,광주 다세대주택 잔여세대 일반매각 공고(선착순 동호지정 상시계약),광주광역시,2024.11.08,2025.12.31,공고중,21820,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017148&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_7,공공분양(신혼희망),[정정공고]의왕월암 A-1 및 A-3블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2024.11.08,2024.11.21,접수마감,47646,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060775&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_8,공공분양(신혼희망),위례 A2-7블록 신혼희망타운(공공분양) 잔여세대 입주자모집공고,경기도,2024.11.13,2024.11.26,접수마감,105310,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060773&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_9,분양주택,"경북권(포항, 구미) 공가세대 일반매각 공고(동호지정순번추첨)",경상북도,2024.11.15,2024.11.26,접수마감,4608,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017166&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_10,공공분양(신혼희망),수원당수 A5블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2024.11.15,2024.11.28,접수마감,52165,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060776&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_11,분양주택,아산배방업무4오피스텔(공공분양)미분양세대 선착순동호지정수의계약 및 3년무이자할부분양,충청남도,2024.11.15,2025.11.15,접수마감,15537,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060782&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_12,공공분양(신혼희망),창원명곡 A-1블록 신혼희망타운(공공분양) 추가입주자모집공고,경상남도,2024.11.18,2024.12.02,접수마감,9235,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060781&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_13,공공분양(신혼희망),"광주선운2 A-1,3블록 신혼희망타운(공공분양) 입주자격완화 추가모집공고[순번추첨동호지정]",광주광역시,2024.11.18,2024.11.28,접수마감,8549,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060777&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_14,분양주택,"대구노원한신더휴(대구노원1) 공가세대 일반매각 공고 [당해지역 1년이상 거주 무주택자, 무순위]",대구광역시,2024.11.20,2024.12.03,접수마감,11905,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017177&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_15,분양주택,광주전남혁신 빛가람LH3단지 잔여세대 일반매각 공고(무순위),전라남도,2024.11.25,2024.12.10,접수마감,7722,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017183&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_16,분양주택,익산평화 공공분양 분양조건부 전세 입주자모집 공고,전국,2024.12.06,2025.03.01,접수마감,10677,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060788&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_17,분양주택,양주옥정 A-4(1)블록 공공분양주택 추가모집(5년무이자할부 및 발코니확장비 무상지원),경기도,2024.12.06,2024.12.11,접수마감,13958,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060789&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_18,분양주택,석촌·송파(도시형생활주택) 공가세대 일반공급 입주자모집공고(무순위),서울특별시,2024.12.06,2024.12.11,접수마감,56485,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017256&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_19,분양주택,효천LH천년나무2단지 잔여세대 일반매각 공고(선착순 동호지정),광주광역시,2024.12.10,2024.12.20,접수마감,4951,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017270&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_20,분양주택,전북권 임대주택 분양전환 후 잔여세대 일반매각 공고(동호지정 계약),전북특별자치도,2024.12.11,2025.12.31,공고중,13887,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017271&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_21,분양주택,"분양전환 후 잔여세대 일반매각 공고(춘천퇴계5, 강릉입암2, 동해천곡4, 삼척정상)",강원특별자치도,2024.12.13,2024.12.27,접수마감,12140,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017275&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_22,분양주택,충북혁신 B2블록 공공분양주택 잔여세대(1세대) 선착순 입주자모집공고,충청북도,2024.12.24,2025.01.07,접수마감,9351,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060794&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_23,분양주택,군산시 다세대주택 분양전환 후 잔여세대 일반매각 공고,전북특별자치도,2024.12.26,2025.01.23,접수마감,4491,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017380&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_24,분양주택,전주시 다세대주택 분양전환 후 잔여세대 일반매각 공고,전북특별자치도,2024.12.26,2025.01.23,접수마감,10203,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017379&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_25,공공분양(신혼희망),의왕청계2 A1블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2024.12.30,2025.01.16,접수마감,82573,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060793&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_26,공공분양(신혼희망),성남금토 A-4블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2024.12.31,2025.01.16,접수마감,46262,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060795&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_27,공공분양(신혼희망),[정정공고]성남금토 A-4블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2025.01.03,2025.01.16,접수마감,26653,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060796&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_28,공공분양(신혼희망),[정정공고][정정공고]성남금토 A-4블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2025.01.08,2025.01.16,접수마감,83243,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060797&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_29,분양주택,"경북권(포항, 구미) 공가세대 일반매각 공고(선착순, 상시계약)",경상북도,2025.01.13,2025.08.28,접수마감,23244,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017460&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_30,분양주택,광주전남혁신 빛가람LH3단지 잔여세대 일반매각 공고(순번추첨 동호지정),전라남도,2025.01.17,2025.02.06,접수마감,13610,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017477&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_31,공공분양(신혼희망),울산다운2 A-9블록 신혼희망타운(공공분양) 추가입주자모집공고(선착순 동호지정),울산광역시,2025.01.21,2025.06.30,접수마감,22695,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060801&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_32,분양주택,고양창릉 S-5블록 공공분양주택 입주자모집공고,경기도,2025.01.31,2025.02.21,접수마감,98684,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060803&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_33,분양주택,고양창릉 S-6블록 공공분양주택 입주자모집공고,경기도,2025.01.31,2025.02.21,접수마감,98426,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060804&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_34,공공분양(신혼희망),고양창릉 A-4블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2025.01.31,2025.02.21,접수마감,81877,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060802&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_35,공공분양(신혼희망),[정정공고]고양창릉 A-4블록 신혼희망타운(공공분양) 입주자모집공고,경기도,2025.02.11,2025.02.21,접수마감,79392,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060809&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_36,분양주택,[정정공고]고양창릉 S-6블록 공공분양주택 입주자모집공고,경기도,2025.02.11,2025.02.21,접수마감,81539,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060808&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_37,분양주택,[정정공고]고양창릉 S-5블록 공공분양주택 입주자모집공고,경기도,2025.02.11,2025.02.21,접수마감,156353,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060807&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_38,분양주택,[정정공고] 익산평화 공공분양 분양조건부 전세 입주자모집 공고,전국,2025.02.20,2025.03.01,접수마감,4939,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060817&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_39,분양주택,[정정공고]광주전남혁신 빛가람LH3단지 잔여세대 일반매각 공고(순번추첨 동호지정),전라남도,2025.02.21,2025.02.06,접수마감,4680,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017539&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_40,분양주택,익산평화 공공분양주택 추가 입주자모집(5년 무이자할부),전국,2025.03.05,2026.04.30,정정공고중,14914,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060824&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_41,공공분양(신혼희망),"양산사송A-2블럭 신혼희망타운(공공분양) 추가입주자 모집공고(선착순,계약금5백만원 정액제)",경상남도,2025.03.07,2025.04.21,접수마감,11902,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060821&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_42,분양주택,대구노원한신더휴(대구노원1) 공가세대 일반매각 공고 [무순위],대구광역시,2025.03.20,2025.04.16,접수마감,14417,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017690&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_43,분양주택,제주 하귀휴먼시아2단지 잔여세대 매각 공고,제주특별자치도,2025.03.25,2025.04.09,접수마감,12196,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017635&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_44,공공분양(신혼희망),평택고덕 A-53블록 신혼희망타운(공공분양) 추가입주자모집공고[순번추첨 동호지정계약],경기도,2025.03.27,2025.04.07,접수마감,21022,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060839&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_45,공공분양(신혼희망),인천가정2 A-2블록 신혼희망타운(공공분양) 잔여세대 추가 입주자모집공고,인천광역시,2025.03.28,2025.04.09,접수마감,44983,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060840&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_46,분양주택,교산 푸르지오 더 퍼스트(하남교산 A-2BL)공공분양주택 입주자모집공고,경기도,2025.03.31,2025.05.09,접수마감,237478,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060838&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_47,분양주택,"전북권 다세대주택 분양전환 후 잔여세대 일반매각 공고(삼천리버빌 등 7개단지, 동호지정 계약)",전북특별자치도,2025.04.02,2025.12.31,공고중,11791,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017830&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_48,공공분양(신혼희망),"광주선운2 A-1,3블록 신혼희망타운 공공분양 추가모집공고[순번추첨동호지정 및 선착순계약]",광주광역시,2025.04.08,2025.04.22,접수마감,11713,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060848&ccrCnntSysDsCd=02&uppAisTpCd=39&aisTpCd=39
LH_sale_49,분양주택,(세종)행정중심복합도시 6-3M2BL(산울마을5단지) 공공분양 잔여세대 입주자 모집공고,세종특별자치시,2025.04.14,2025.04.25,접수마감,493758,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060830&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_50,분양주택,서귀포혁신도시1단지 공가세대 일반분양,제주특별자치도,2025.04.15,2025.04.30,접수마감,3891,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017871&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_51,분양주택,[정정공고]서귀포혁신도시1단지 공가세대 일반분양,제주특별자치도,2025.04.16,2025.04.30,접수마감,4649,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=2015122300017884&ccrCnntSysDsCd=03&uppAisTpCd=05&aisTpCd=05
LH_sale_52,분양주택,양주옥정 A-4(1)블록 공공분양주택 추가모집(5년 무이자할부 및 발코니 확장비 무상지원),경기도,2025.04.16,2025.04.29,접수마감,31325,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060850&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_53,분양주택,[순번추첨 동·호지정] 영천문외 센트럴타운 공공분양주택 잔여세대 입주자 모집공고,경상북도,2025.04.21,2025.05.14,접수마감,4568,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060857&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_54,분양주택,[정정공고]교산 푸르지오 더 퍼스트(하남교산 A-2BL)공공분양주택 입주자모집공고,경기도,2025.04.22,2025.05.09,접수마감,41733,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060855&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
LH_sale_55,분양주택,[정정공고][순번추첨 동·호지정] 영천문외 센트럴타운 공공분양주택 잔여세대 입주자 모집공고,경상북도,2025.04.23,2025.05.14,접수마감,7934,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?mi=1026&panId=0000060858&ccrCnntSysDsCd=02&uppAisTpCd=05&aisTpCd=05
